Designator,Value,Package,Mid X,Mid Y,Rotation,Side
C1,10u,C_1206_3216Metric,65.786,-78.232,0,top
C2,10u,C_1206_3216Metric,65.786,-70.612,180,top
C3,10u,C_1206_3216Metric,73.406,-78.232,0,top
C4,10u,C_1206_3216Metric,73.406,-70.612,180,top
C5,10u,C_1206_3216Metric,88.138,-71.12,180,top
C6,10u,C_1206_3216Metric,83.058,-63.246,180,top
D1,SS14,D_SMA,74.422,-81.788,0,top
R1,1k,R_0603_1608Metric,82.55,-67.056,0,top
R2,120,R_0603_1608Metric,103.378,-80.01,180,top
R3,10k,R_0603_1608Metric,87.63,-78.994,0,top
R4,560,R_0603_1608Metric,98.044,-82.042,0,top
R5,1k2,R_0603_1608Metric,86.868,-82.042,0,top
U1,HT7550-1,SOT-89-3,65.786,-74.422,180,top
U2,ST3485EBDR,SOIC-8_3.9x4.9mm_P1.27mm,89.662,-75.184,270,top
U3,HT7533-1,SOT-89-3,73.406,-74.422,180,top
U4,74HC14,SOIC-14_3.9x8.7mm_P1.27mm,90.424,-65.786,0,top
